type,time,latitude,longitude,altitude (ft),speed (mph),course,distance (mi),distance_interval (ft),name,desc
W,,34.421130000,-84.119103000,1367.5,,,,,Main Street,
W,,33.956376000,-83.988021000,1069.2,,,,,arrive at destination,
W,,34.421130000,-84.119103000,1367.5,,,,,,"At roundabout, take exit 2 onto Main Street"
W,,34.421257000,-84.116700000,1381.9,,,,,,
W,,34.363792000,-84.037082000,1196.5,,,,,,
W,,34.363006000,-84.037554000,1196.2,,,,,,
W,,34.188125000,-84.136116000,1239.2,,,,,,
W,,34.185096000,-84.139353000,1267.1,,,,,,
W,,33.957811000,-83.985773000,1043.6,,,,,,
W,,33.957252000,-83.989665000,1093.2,,,,,,turn left onto South Perry Street
W,,33.956265000,-83.989548000,1081.0,,,,,,turn left onto West Crogan Street
W,,33.956376000,-83.988021000,1069.2,,,,,,

type,time,latitude,longitude,altitude (ft),speed (mph),course,distance (mi),distance_interval (ft),name,desc
T,2022-08-26 12:27:19,34.421130000,-84.119103000,1367.3,,,0.000,,GraphHopper Track,
T,,34.421124000,-84.118919000,1367.1,,92.3,0.011,55.54,,
T,,34.421283000,-84.118353000,1371.3,,71.2,0.045,180.24,,
T,2022-08-26 12:27:41,34.421257000,-84.116700000,1381.9,0.0,91.1,0.139,498.63,,
T,,34.421094000,-84.116579000,1383.4,,148.5,0.152,69.65,,
T,,34.420575000,-84.115708000,1387.9,,125.8,0.214,323.55,,
T,,34.420175000,-84.115075000,1386.9,,127.5,0.259,240.08,,
T,,34.419988000,-84.114840000,1393.0,,134.0,0.278,98.26,,
T,,34.419690000,-84.114561000,1397.9,,142.3,0.304,137.27,,
T,,34.419328000,-84.114350000,1399.4,,154.3,0.331,146.31,,
T,,34.418816000,-84.114139000,1401.2,,161.2,0.369,196.91,,
T,,34.418001000,-84.113844000,1401.8,,163.4,0.427,309.67,,
T,,34.417696000,-84.113759000,1399.9,,167.1,0.449,113.92,,
T,,34.416447000,-84.113296000,1381.9,,163.0,0.539,475.53,,
T,,34.416034000,-84.113087000,1375.8,,157.3,0.570,162.99,,
T,,34.415639000,-84.112799000,1368.2,,149.0,0.602,167.96,,
T,,34.415113000,-84.112201000,1356.4,,136.8,0.651,263.02,,
T,,34.414888000,-84.111886000,1349.5,,130.9,0.675,125.43,,
T,,34.413855000,-84.110234000,1344.1,,127.2,0.793,624.20,,
T,,34.412562000,-84.108184000,1376.6,,127.4,0.941,777.03,,
T,,34.411409000,-84.106353000,1397.9,,127.4,1.072,693.61,,
T,,34.410874000,-84.105522000,1392.9,,128.0,1.132,317.40,,
T,,34.410542000,-84.105046000,1388.7,,130.2,1.168,187.65,,
