latitude,longitude
34.421130000,-84.119103000
33.956376000,-83.988021000
34.421257000,-84.116700000
34.363792000,-84.037082000
34.363006000,-84.037554000
34.188125000,-84.136116000
34.185096000,-84.139353000
33.957811000,-83.985773000
33.957252000,-83.989665000
33.956265000,-83.989548000
latitude,longitude
34.421124000,-84.118919000
34.421283000,-84.118353000
34.421094000,-84.116579000
34.420575000,-84.115708000
34.420175000,-84.115075000
34.419988000,-84.114840000
34.419690000,-84.114561000
34.419328000,-84.114350000
34.418816000,-84.114139000
34.418001000,-84.113844000
34.417696000,-84.113759000
34.416447000,-84.113296000
34.416034000,-84.113087000
34.415639000,-84.112799000
34.415113000,-84.112201000
34.414888000,-84.111886000
34.413855000,-84.110234000
34.412562000,-84.108184000
34.411409000,-84.106353000
34.410874000,-84.105522000
34.410542000,-84.105046000
34.410409000,-84.104899000
34.410261000,-84.104768000
34.410064000,-84.104626000
34.409141000,-84.104122000
34.408779000,-84.103838000
34.407676000,-84.102454000
34.407265000,-84.101975000
34.407072000,-84.101804000
34.406906000,-84.101686000
34.406226000,-84.101280000
34.406022000,-84.101143000
34.405831000,-84.100978000
34.405626000,-84.100753000
34.404457000,-84.099202000
34.404288000,-84.099016000
34.404033000,-84.098781000
34.403673000,-84.098545000
34.401379000,-84.097486000
34.401028000,-84.097340000
34.399982000,-84.097050000
34.399595000,-84.096905000
34.399389000,-84.096782000
34.399271000,-84.096681000
34.399127000,-84.096528000
34.398986000,-84.096334000
34.398798000,-84.096013000
34.398323000,-84.095106000
34.398173000,-84.094872000
34.398009000,-84.094662000
34.397211000,-84.093823000
34.397038000,-84.093617000
34.396845000,-84.093343000
34.396676000,-84.093045000
34.396442000,-84.092489000
34.396183000,-84.091623000
34.395973000,-84.091048000
34.395807000,-84.090762000
34.395685000,-84.090585000
34.395486000,-84.090349000
34.395314000,-84.090190000
34.395047000,-84.089995000
34.394631000,-84.089748000
34.393451000,-84.089096000
34.393038000,-84.088821000
34.392859000,-84.088655000
34.392713000,-84.088495000
34.392586000,-84.088321000
34.392468000,-84.088115000
34.392351000,-84.087859000
34.392274000,-84.087631000
34.392220000,-84.087397000
34.392131000,-84.086750000
34.392054000,-84.085960000
34.391926000,-84.085310000
34.391746000,-84.084754000
34.391550000,-84.084314000
34.391369000,-84.083984000
34.390846000,-84.083145000
34.390624000,-84.082712000
34.390431000,-84.082191000
34.390113000,-84.081170000
34.389978000,-84.080836000
34.389805000,-84.080495000
34.389553000,-84.080111000
34.389431000,-84.079958000
34.389160000,-84.079669000
34.386856000,-84.077573000
34.386019000,-84.076768000
34.385661000,-84.076348000
34.385248000,-84.075720000
34.385043000,-84.075343000
34.384873000,-84.074973000
34.384689000,-84.074501000
34.384545000,-84.074023000
34.384367000,-84.073317000
34.382034000,-84.063965000
34.381342000,-84.061269000
34.381086000,-84.060354000
34.380796000,-84.059446000
34.380291000,-84.058028000
34.379879000,-84.056984000
34.378561000,-84.053808000
34.378244000,-84.052986000
34.377786000,-84.051748000
34.377679000,-84.051407000
34.377608000,-84.051046000
34.377592000,-84.050726000
34.377606000,-84.050428000
34.377627000,-84.050249000
34.377791000,-84.049438000
34.377828000,-84.049077000
34.377817000,-84.048749000
34.377777000,-84.048502000
34.377674000,-84.048174000
34.377509000,-84.047858000
34.377292000,-84.047546000
34.377085000,-84.047350000
34.374921000,-84.045681000
34.374419000,-84.045274000
34.374280000,-84.045132000
34.374134000,-84.044951000
34.373909000,-84.044618000
34.373007000,-84.043150000
34.372783000,-84.042857000
34.372549000,-84.042613000
34.372324000,-84.042426000
34.372017000,-84.042232000
34.371717000,-84.042103000
34.371494000,-84.042038000
34.371213000,-84.041983000
34.371014000,-84.041967000
34.369591000,-84.041998000
34.369261000,-84.041977000
34.368838000,-84.041881000
34.368455000,-84.041698000
34.368292000,-84.041602000
34.367973000,-84.041371000
34.367715000,-84.041140000
34.365406000,-84.038694000
34.365223000,-84.038619000
34.364301000,-84.037647000
34.363721000,-84.037036000
34.363557000,-84.036996000
34.363406000,-84.037043000
34.363266000,-84.037181000
34.362584000,-84.038145000
34.362437000,-84.038298000
34.362027000,-84.038653000
34.359009000,-84.043516000
34.358731000,-84.043923000
34.358358000,-84.044384000
34.358088000,-84.044669000
34.357589000,-84.045108000
34.357086000,-84.045453000
34.356807000,-84.045611000
34.356445000,-84.045774000
34.355738000,-84.046074000
34.354852000,-84.046411000
34.353628000,-84.046908000
34.353117000,-84.047165000
34.349531000,-84.048645000
34.348495000,-84.049102000
34.347873000,-84.049422000
34.347086000,-84.049878000
34.346373000,-84.050358000
34.344823000,-84.051521000
34.342941000,-84.052954000
34.342273000,-84.053419000
34.341796000,-84.053727000
34.341014000,-84.054177000
34.340186000,-84.054585000
34.339632000,-84.054825000
34.338973000,-84.055071000
34.338039000,-84.055363000
34.337233000,-84.055553000
34.336602000,-84.055673000
34.332117000,-84.056394000
34.330911000,-84.056596000
34.330034000,-84.056794000
34.329462000,-84.056957000
34.328608000,-84.057242000
34.327337000,-84.057806000
34.326875000,-84.058046000
34.324235000,-84.059501000
34.320987000,-84.061282000
34.319231000,-84.062169000
34.314717000,-84.064342000
34.310577000,-84.066349000
34.309539000,-84.066882000
34.308586000,-84.067475000
34.307619000,-84.068187000
34.307354000,-84.068404000
34.304784000,-84.070661000
34.303370000,-84.071891000
34.303024000,-84.072160000
34.302415000,-84.072561000
34.302144000,-84.072715000
34.301707000,-84.072930000
34.300963000,-84.073226000
34.300464000,-84.073368000
34.299411000,-84.073558000
34.293121000,-84.074563000
34.289044000,-84.075213000
34.281835000,-84.076357000
34.278106000,-84.076950000
34.275576000,-84.077358000
34.274994000,-84.077489000
34.274534000,-84.077623000
34.274078000,-84.077780000
34.273668000,-84.077948000
34.273130000,-84.078211000
34.272545000,-84.078542000
34.272195000,-84.078761000
34.271759000,-84.079070000
